CustomerAddress,AddressID
"354 Mcdowell Turnpike, Port Charles, CT 95318",1
"24740 Fox Villages, New Tracie, MA 53038",2
"769 Joe Trail, East Terri, CA 43813",3
"25357 Blackwell Locks, Andreabury, MH 27857",4
"PSC 1552, Box 7906, APO AP 50694",5
"5881 Shawn Fords Apt. 256, Martinezbury, NH 01010",6
"040 Lopez Crossing Apt. 758, Victormouth, RI 51198",7
"455 Mary Path, Cobbberg, PW 26662",8
"27534 Jennifer Burgs Suite 449, West Lauraville, AK 18548",9
"00227 Carpenter Port, North Amberberg, TN 08056",10
"40206 Aguilar Mall Suite 062, Port Melissahaven, CT 25473",11
"USCGC Short, FPO AP 47515",12
"4293 Stephanie Dale, Tracyside, MD 42098",13
"9811 Christensen Mews, Thomasberg, TN 15366",14
"PSC 8490, Box 9669, APO AA 95271",15
"779 Mary Lights Suite 973, Port Stephenfurt, NJ 62100",16
"340 Coffey Walks Suite 580, Lake Blake, GA 34636",17
"62893 Samantha Center, East Isaiahtown, NY 59347",18
"9766 Medina Knolls, Lake Lisa, PW 63200",19
"44630 Woods Junctions, Rachelfurt, SD 32020",20
"11174 Debbie Ramp, Phamport, SD 62654",21
"14472 Daniel Ferry Suite 910, Bergerview, NC 31338",22
"85248 Victoria Shores, Kristinton, AR 30243",23
"2227 Mendoza Inlet, New Michelle, MA 88676",24
"62191 Davis Viaduct Apt. 885, Lake Christyside, VI 71947",25
"720 Faulkner Highway Apt. 836, North Diana, LA 62813",26
"92027 Coleman Green, New Paul, MA 98487",27
"283 Laurie Plaza Apt. 721, Johnsonview, KS 50723",28
"0423 Jack Trace, Port Robert, DC 58979",29
"8116 Williams Islands, Rowehaven, LA 83038",30
"969 Fowler Path, Sharonton, MH 15799",31
"93712 Christopher Locks, North Colton, OR 35884",32
"Unit 9660 Box 4141, DPO AP 96032",33
"03249 Stephanie Keys, Lake Ericborough, LA 53064",34
"1794 Christopher Ports, Port Brenttown, WA 88071",35
"313 Jessica Summit Apt. 110, Port Debrashire, DC 35306",36
"0677 Elizabeth Ridge, Heatherhaven, FL 38488",37
"838 Short Stravenue, Porterberg, PA 29342",38
"604 Gross Terrace, North Alexandertown, TX 63870",39
"24190 Snyder Village Apt. 107, Fosterbury, LA 25288",40
"82995 Taylor Gateway Apt. 419, Port Edward, NC 12965",41
"Unit 5811 Box 5410, DPO AE 35890",42
"595 Sarah Row Apt. 325, Morenoport, MH 86981",43
"6312 Cynthia Courts, Reyesshire, DC 22818",44
"62267 Green Falls Suite 208, Melanieberg, MD 41293",45
"61990 Jasmine Drive Suite 269, South Sara, NE 72054",46
"0017 Derrick Street Apt. 505, North Nicole, MT 12710",47
"1739 Tracey Valley Apt. 827, New Amyport, AL 23915",48
"278 Heather Valleys Suite 503, East Mark, NY 85782",49
"610 Schaefer Shoals Apt. 660, South Sophia, GA 80749",50
"369 Owens Rue Apt. 453, Mcdonaldburgh, SD 08635",51
"801 Kevin Court Apt. 339, Gregoryhaven, IN 82126",52
"005 Jennifer Rue Suite 400, New Christophermouth, VT 71003",53
"17402 Madison Curve, Frederickmouth, OH 77718",54
"6966 Zoe Knoll Suite 607, Thomasside, MI 52032",55
"4562 Kim Street Apt. 942, South Trevor, SD 06722",56
"6150 Hutchinson Cliff Suite 506, Lake Andrealand, FL 65154",57
"37021 Aaron Circle, Lake David, WY 54851",58
"7403 Richardson Burgs Apt. 444, Port Lisa, MH 65706",59
"652 Adams Skyway, Stantonborough, AR 19185",60
"505 Taylor Road Suite 457, Port Pamela, MI 40152",61
"2972 Decker Flat, Lake Davidmouth, WA 87781",62
"102 Stephanie Heights, Murraybury, ID 62115",63
"148 Patricia Squares, Victoriaton, SD 75974",64
"8540 Bowen Turnpike, Port Heather, ID 86984",65
"61686 Christy Locks Suite 587, Galvanmouth, AZ 07115",66
"982 Fowler Roads, East Donbury, VI 09679",67
"242 Martinez Prairie Apt. 294, East Robertstad, GU 52760",68
"20739 Jasmin Trafficway, Johnshire, KY 59819",69
"641 Jason Neck, North Derek, AZ 20814",70
"124 Montoya Vista Apt. 485, Sarahshire, CO 14890",71
"282 Bender Fields, Medinaton, WI 02177",72
"53480 Fernandez Locks Suite 890, Davisfort, AR 47803",73
"757 Ray Parkways, East Jessica, PW 57528",74
"8749 Lloyd Prairie, North Kimberlyview, UT 81171",75
"10651 Nicholas Courts Suite 311, Lake Thomas, MA 14114",76
"USCGC Adkins, FPO AE 03307",77
"81099 Walker Prairie Suite 558, North Cassandra, WI 63614",78
"794 Bradley Turnpike Suite 580, Marissastad, ME 59168",79
"402 Ramsey Terrace Apt. 036, Mitchellport, WI 07945",80
"352 Cannon Street Suite 279, West Dylan, AR 33855",81
"3781 Jay Junctions Suite 352, Wilsonshire, OK 12591",82
"PSC 7064, Box 4733, APO AE 04203",83
"32841 Washington Well Apt. 527, Sandraborough, HI 58070",84
"55679 Cesar Keys, East Jesseshire, ME 79792",85
"197 Garrett Ports Apt. 656, Malikport, PW 47871",86
"86150 Peck Lock Apt. 799, East Alexander, NY 46477",87
"580 Brent Greens Suite 770, Lake Stephanie, AL 44195",88
"55219 Gina Lodge Apt. 686, Moniquehaven, ND 38392",89
"92168 Rojas Causeway, Reidfort, AK 04575",90
"4982 Castillo Falls, Jeremyfurt, CO 67967",91
"5079 Brian Ridges Apt. 333, Port Jodi, SD 65670",92
"31038 Jennifer Field Suite 322, Davidview, SC 72181",93
"781 Moore Springs, Toddstad, MI 25178",94
"233 Stephen Well Suite 690, Amyfurt, OK 60377",95
"029 Ewing Oval Apt. 593, Shannonside, IL 63053",96
"01974 Murray Pines Apt. 318, East Lindaberg, RI 53187",97
"86172 Lopez Circles, Staceymouth, ME 43671",98
"831 Alicia River, South Petertown, WV 04846",99
"841 Hunter Station Apt. 828, Lake Brandon, MD 84708",100
"7721 Stewart Centers, Rebeccastad, WI 02981",101
"339 Davis Vista, Brittanyberg, WV 00502",102
"01904 Miller Extension, North Paul, MT 74853",103
"Unit 0295 Box 6813, DPO AP 39409",104
"021 Johnson Club, Mcdonaldmouth, MI 37357",105
"12622 Thomas Mount Suite 913, West Davidville, WI 12076",106
"8574 Jensen Rest, Morrisshire, OK 15355",107
"601 Le Dale, Zamorabury, MA 40898",108
"PSC 7347, Box 0195, APO AE 02789",109
